method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x;nbiter;pytimeit
free_slots;batsim_out_jobs.csv;cebbabb56326;21;0;0;0;0;2546180;32;100%;657546;1.78;208.47;0;0;4096;1032;209.63;0;0;0;0;0;50;0;30;208.19236704404466
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;22;0;0;0;0;1528436;32;100%;395212;1.26;106.26;0;0;4096;392;106.93;0;0;0;0;0;47;0;30;105.67048399103805
free_slots;batsim_out_jobs.csv;cebbabb56326;22;0;0;0;0;2547868;32;100%;662512;1.54;198.29;0;0;4096;998;199.26;0;0;0;0;0;45;0;30;197.8664930718951
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;23;0;0;0;0;1525264;32;100%;392847;1.17;101.06;0;0;4096;260;101.64;0;0;0;0;0;51;0;30;100.47551361098886
free_slots;batsim_out_jobs.csv;cebbabb56326;23;0;0;0;0;2551416;32;100%;663252;1.51;193.15;0;0;4096;442;194.04;0;0;0;0;0;49;0;30;192.7775964429602
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;24;0;0;0;0;1528324;32;100%;391799;1.12;95.08;0;0;4096;174;95.53;0;0;0;0;0;45;0;30;94.47468234598637
free_slots;batsim_out_jobs.csv;cebbabb56326;24;0;0;0;0;2547672;32;100%;663484;1.46;190.28;0;0;4096;275;191.11;0;0;0;0;0;46;0;30;189.87403533887118
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;25;0;0;0;0;1527880;32;100%;394658;1.15;94.78;0;0;4096;193;95.28;0;0;0;0;0;48;0;30;94.22029821202159
free_slots;batsim_out_jobs.csv;cebbabb56326;25;0;0;0;0;2551136;32;100%;658724;1.54;189.50;0;0;4096;482;190.37;0;0;0;0;0;42;0;30;189.1354201429058
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;26;0;0;0;0;1529480;32;100%;394082;1.17;94.63;0;0;4096;221;95.13;0;0;0;0;0;48;0;30;94.09190529794432
free_slots;batsim_out_jobs.csv;cebbabb56326;26;0;0;0;0;2548736;32;100%;662866;1.48;189.05;0;0;4096;339;189.86;0;0;0;0;0;47;0;30;188.6622264010366
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;27;0;0;0;0;1527888;32;100%;391460;1.17;94.86;0;0;4096;155;95.36;0;0;0;0;0;52;0;30;94.31210820097476
free_slots;batsim_out_jobs.csv;cebbabb56326;27;0;0;0;0;2547544;32;100%;658188;1.54;186.86;0;0;4096;285;187.74;0;0;0;0;0;52;0;30;186.539051058935
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;28;0;0;0;0;1525356;32;100%;392721;1.12;94.99;0;0;4096;174;95.47;0;0;0;0;0;46;0;30;94.4438143579755
free_slots;batsim_out_jobs.csv;cebbabb56326;28;0;0;0;0;2546404;32;100%;657999;1.44;189.38;0;0;4096;272;190.15;0;0;0;0;0;45;0;30;188.91211337200366
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;29;0;0;0;0;1527624;32;100%;391436;1.18;93.46;0;0;4096;156;93.97;0;0;0;0;0;46;0;30;92.9345617890358
free_slots;batsim_out_jobs.csv;cebbabb56326;29;0;0;0;0;2546460;32;100%;662378;1.53;189.61;0;0;4096;290;190.47;0;0;0;0;0;43;0;30;189.25181010598317
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;30;0;0;0;0;1529348;32;100%;392039;1.10;94.33;0;0;4096;160;94.76;0;0;0;0;0;45;0;30;93.73517411598004
free_slots;batsim_out_jobs.csv;cebbabb56326;30;0;0;0;0;2551416;32;100%;658931;1.44;188.60;0;0;4096;282;189.37;0;0;0;0;0;43;0;30;188.14416631287895
detailed_utilisation;jobs.csv;40c67da4ccf8;1;0;0;0;0;354744;32;101%;93850;0.74;34.87;0;0;4096;97;34.96;0;0;0;0;0;32;0;30;34.17534561781213
free_slots;jobs.csv;40c67da4ccf8;1;0;0;0;0;487056;32;101%;129324;0.81;63.63;0;0;4096;124;63.78;0;0;0;0;0;48;0;30;62.954638451104984
detailed_utilisation;jobs.csv;40c67da4ccf8;2;0;0;0;0;355264;32;101%;93582;0.76;34.36;0;0;4096;71;34.45;0;0;0;0;0;48;0;30;33.67767372680828
free_slots;jobs.csv;40c67da4ccf8;2;0;0;0;0;486876;32;101%;130063;0.81;63.32;0;0;4096;173;63.46;0;0;0;0;0;41;0;30;62.61709286109544
detailed_utilisation;jobs.csv;40c67da4ccf8;3;0;0;0;0;354156;32;101%;93352;0.74;34.27;0;0;4096;100;34.36;0;0;0;0;0;48;0;30;33.5782605689019
free_slots;jobs.csv;40c67da4ccf8;3;0;0;0;0;486632;32;101%;129483;0.85;64.23;0;0;4096;116;64.41;0;0;0;0;0;52;0;30;63.56436458393
detailed_utilisation;jobs.csv;40c67da4ccf8;4;0;0;0;0;354848;32;101%;93854;0.72;34.60;0;0;4096;74;34.65;0;0;0;0;0;48;0;30;33.86847611190751
free_slots;jobs.csv;40c67da4ccf8;4;0;0;0;0;486284;32;101%;129441;0.79;63.22;0;0;4096;127;63.35;0;0;0;0;0;45;0;30;62.51307102618739
detailed_utilisation;jobs.csv;40c67da4ccf8;5;0;0;0;0;353916;32;101%;93814;0.74;34.80;0;0;4096;96;34.86;0;0;0;0;0;48;0;30;34.07523574098013
free_slots;jobs.csv;40c67da4ccf8;5;0;0;0;0;486656;32;101%;129468;0.79;63.97;0;0;4096;125;64.09;0;0;0;0;0;43;0;30;63.25044047809206
detailed_utilisation;jobs.csv;40c67da4ccf8;6;0;0;0;0;355308;32;101%;93559;0.74;34.30;0;0;4096;88;34.37;0;0;0;0;0;44;0;30;33.59796558483504
free_slots;jobs.csv;40c67da4ccf8;6;0;0;0;0;486652;32;101%;129755;0.82;63.62;0;0;4096;120;63.77;0;0;0;0;0;44;0;30;62.93276359792799
detailed_utilisation;jobs.csv;40c67da4ccf8;7;0;0;0;0;354796;32;101%;93320;0.74;34.76;0;0;4096;81;34.83;0;0;0;0;0;50;0;30;34.06495349598117
free_slots;jobs.csv;40c67da4ccf8;7;0;0;0;0;487052;32;101%;129951;0.79;63.36;0;0;4096;136;63.48;0;0;0;0;0;52;0;30;62.66884615784511
detailed_utilisation;jobs.csv;40c67da4ccf8;8;0;0;0;0;353820;32;101%;93264;0.75;34.67;0;0;4096;82;34.75;0;0;0;0;0;49;0;30;33.987374383956194
free_slots;jobs.csv;40c67da4ccf8;8;0;0;0;0;486108;32;101%;129212;0.84;64.34;0;0;4096;193;64.51;0;0;0;0;0;48;0;30;63.69912160397507
detailed_utilisation;jobs.csv;40c67da4ccf8;9;0;0;0;0;355320;32;101%;93443;0.77;34.47;0;0;4096;79;34.57;0;0;0;0;0;51;0;30;33.80824547703378
free_slots;jobs.csv;40c67da4ccf8;9;0;0;0;0;486640;32;101%;129922;0.77;63.25;0;0;4096;236;63.36;0;0;0;0;0;45;0;30;62.53217242495157
detailed_utilisation;jobs.csv;40c67da4ccf8;10;0;0;0;0;354080;32;101%;93415;0.73;34.39;0;0;4096;76;34.46;0;0;0;0;0;54;0;30;33.69855785812251
free_slots;jobs.csv;40c67da4ccf8;10;0;0;0;0;486384;32;101%;130001;0.82;63.66;0;0;4096;126;63.82;0;0;0;0;0;48;0;30;63.009131122846156
detailed_utilisation;jobs.csv;40c67da4ccf8;11;0;0;0;0;354652;32;101%;93425;0.74;34.19;0;0;4096;77;34.27;0;0;0;0;0;46;0;30;33.50980281899683
free_slots;jobs.csv;40c67da4ccf8;11;0;0;0;0;487408;32;101%;129404;0.84;63.88;0;0;4096;116;64.05;0;0;0;0;0;49;0;30;63.22482313681394
detailed_utilisation;jobs.csv;40c67da4ccf8;12;0;0;0;0;355028;32;101%;93436;0.70;34.63;0;0;4096;75;34.67;0;0;0;0;0;50;0;30;33.90408748714253
free_slots;jobs.csv;40c67da4ccf8;12;0;0;0;0;487008;32;101%;129517;0.82;64.44;0;0;4096;123;64.60;0;0;0;0;0;45;0;30;63.783943014917895
detailed_utilisation;jobs.csv;40c67da4ccf8;13;0;0;0;0;354364;32;101%;93578;0.72;34.56;0;0;4096;178;34.62;0;0;0;0;0;50;0;30;33.8544932838995
free_slots;jobs.csv;40c67da4ccf8;13;0;0;0;0;486240;32;101%;129039;0.82;64.85;0;0;4096;116;65.01;0;0;0;0;0;41;0;30;64.18456455413252
detailed_utilisation;jobs.csv;40c67da4ccf8;14;0;0;0;0;353856;32;101%;93387;0.70;34.60;0;0;4096;81;34.63;0;0;0;0;0;53;0;30;33.87410211889073
free_slots;jobs.csv;40c67da4ccf8;14;0;0;0;0;486456;32;101%;129070;0.79;63.86;0;0;4096;109;63.98;0;0;0;0;0;47;0;30;63.16930195107125
detailed_utilisation;jobs.csv;40c67da4ccf8;15;0;0;0;0;354440;32;101%;93096;0.71;34.68;0;0;4096;89;34.72;0;0;0;0;0;50;0;30;33.952800126047805
