method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x
gantt;jobs.csv;484e302528a6;10;0;0;0;0;128232;32;148%;35793;1.06;2.76;0;0;4096;309731;2.57;0;0;0;0;0;360;0
load;jobs.csv;484e302528a6;10;0;0;0;0;141892;32;133%;38389;1.08;3.26;0;0;4096;216671;3.26;0;0;0;0;0;360;0
gantt;jobs.csv;484e302528a6;11;0;0;0;0;128404;32;157%;35893;1.16;2.27;0;0;4096;436475;2.17;0;0;0;0;0;361;0
load;jobs.csv;484e302528a6;11;0;0;0;0;141876;32;129%;38200;1.48;3.62;0;0;4096;214432;3.94;0;0;0;0;0;362;0
gantt;jobs.csv;484e302528a6;12;0;0;0;0;128360;32;150%;35699;1.17;2.56;0;0;4096;156866;2.47;0;0;0;0;0;362;0
load;jobs.csv;484e302528a6;12;0;0;0;0;141772;32;136%;38265;1.09;3.30;0;0;4096;213007;3.23;0;0;0;0;0;364;0
gantt;jobs.csv;484e302528a6;13;0;0;0;0;128172;32;152%;35780;1.21;2.65;0;0;4096;152228;2.53;0;0;0;0;0;357;0
load;jobs.csv;484e302528a6;13;0;0;0;0;141168;32;130%;38169;1.16;3.84;0;0;4096;219457;3.84;0;0;0;0;0;354;0
gantt;jobs.csv;484e302528a6;14;0;0;0;0;128280;32;161%;35777;1.20;2.26;0;0;4096;212850;2.14;0;0;0;0;0;365;0
load;jobs.csv;484e302528a6;14;0;0;0;0;141704;32;130%;38406;1.16;3.80;0;0;4096;108;3.80;0;0;0;0;0;365;0
gantt;jobs.csv;484e302528a6;15;0;0;0;0;128372;32;159%;35657;1.15;2.21;0;0;4096;438049;2.11;0;0;0;0;0;347;0
load;jobs.csv;484e302528a6;15;0;0;0;0;141980;32;128%;38345;2.08;3.24;0;0;4096;214875;4.16;0;0;0;0;0;352;0
gantt;jobs.csv;484e302528a6;16;0;0;0;0;128328;32;148%;35706;1.58;2.40;0;0;4096;174006;2.68;0;0;0;0;0;362;0
load;jobs.csv;484e302528a6;16;0;0;0;0;141664;32;135%;38367;1.12;3.26;0;0;4096;120;3.24;0;0;0;0;0;370;0
gantt;jobs.csv;484e302528a6;17;0;0;0;0;128088;32;158%;35735;1.12;2.28;0;0;4096;427453;2.15;0;0;0;0;0;369;0
load;jobs.csv;484e302528a6;17;0;0;0;0;141360;32;127%;38184;1.71;3.43;0;0;4096;231;4.02;0;0;0;0;0;362;0
gantt;jobs.csv;484e302528a6;18;0;0;0;0;128368;32;155%;35681;1.20;2.36;0;0;4096;247;2.28;0;0;0;0;0;367;0
